participant,document,eda_max,eda_min,eda_std,eda_mean,hr_max,hr_min,hr_std,hr_mean,bvp_max,bvp_min,bvp_std,bvp_mean,temp_max,temp_min,temp_std,temp_mean
P15,D8,2.556878,1.261645,0.39674822895364215,1.716210169014087,123.22,99.87,5.895301744994967,107.33164319248826,3.52,-3.55,0.6901810638397855,0.0005934565727699502,30.71,30.61,0.01865819954069189,30.649201877933965
P15,D9,2.320542,1.760432,0.12239409270811433,1.9320515502645519,109.6,66.9,11.63474663972998,91.41513227513224,239.32,-137.21,8.61286659987722,0.013307705026455134,30.77,30.69,0.021681964212088973,30.736613756613682
P15,D10,2.299253,1.830926,0.12467064990285633,2.0476216741573063,139.2,95.18,14.214285820042134,125.45303370786519,225.43,-190.03,10.765994641642138,-0.3714238061797761,30.77,30.69,0.015954120008464568,30.729662921348112
P15,D11,1.737361,1.592527,0.03873039559238345,1.6687739999999995,149.7,135.37,4.016214587982662,146.0635714285714,2.89,-3.94,0.7994935259942605,0.0007328869047619022,30.73,30.67,0.014055168501999862,30.705238095238094
P15,D12,2.125721,1.684811,0.10819615224382347,1.8334521764705887,129.5,124.2,1.5432992415664586,125.70823529411764,2.45,-3.57,0.6924540382902851,0.0008318014705882354,30.73,30.67,0.013079278960491447,30.700882352941207
P15,D13,2.570977,1.91552,0.12505587434055299,2.2204760779569894,153.43,128.12,6.2040549954926085,144.97806451612905,2.79,-2.56,0.6313821930616502,0.0006334005376344066,30.73,30.67,0.013622916804885725,30.700967741935347
P19,D0,0.474207,0.393463,0.021201357804657303,0.42951885174418636,156.93,94.15,20.877815431203103,116.2448837209302,2.12,-2.77,0.6116285384579095,0.004763808139534879,26.63,25.93,0.1947625733319623,26.315000000000076
P19,D1,0.452419,0.378084,0.012979762838461308,0.4211814475806445,168.77,153.27,5.578404288619718,163.49282258064522,2.95,-4.07,0.6300551939049827,0.0036050907258064514,27.03,26.69,0.08999761048201842,26.872338709677436
P19,D2,0.419096,0.380647,0.01089010081536423,0.3997210250000002,166.33,153.22,4.224413531706939,158.77009999999999,2.18,-3.12,0.6046495651985518,0.00016874999999999892,27.29,27.05,0.06256978059422169,27.185900000000025
P19,D3,0.454982,0.380647,0.01657296599436911,0.4262571375598081,159.57,78.28,29.202045103579742,122.05679425837329,3.48,-2.01,0.6203328899015318,0.0012178528708134005,27.93,27.53,0.10867383048619204,27.744354066985576
P19,D4,0.433194,0.38321,0.00479351784454195,0.3919047969924802,168.52,151.2,4.26109967600494,154.5115037593985,2.26,-2.13,0.6138350780043087,0.0005932800751879716,28.21,27.95,0.0665609373569085,28.068120300751836
P19,D5,0.49215,0.412688,0.0255319754749222,0.44895893067226966,176.08,172.13,1.0207702825831435,174.2726050420168,2.71,-2.29,0.6104537562940039,-0.0007155987394958031,28.41,28.21,0.05537229551073606,28.306218487395007
P19,D6,0.477037,0.329648,0.019843459763587007,0.42779879678362487,113.27,83.98,6.768534603672687,101.18403508771932,149.04,-90.55,5.425928443703541,0.004759685672514661,29.21,29.11,0.021377558126172213,29.146608187134415
P19,D7,0.482164,0.383477,0.02032967241678037,0.4108427372611474,146.43,78.73,19.356996982325814,123.22133757961781,2.44,-3.43,0.6717694922361903,1.7914012738849233e-05,29.27,29.11,0.03567450608915685,29.18407643312086
P19,D8,0.538556,0.411673,0.021080997173748284,0.45187343110236067,110.18,86.87,6.597515912084032,99.33846456692916,2.53,-2.49,0.6220970847293744,-0.00016732283464567025,29.37,29.23,0.02807590546966367,29.30657480315005
P19,D9,0.528303,0.419363,0.02227567905870587,0.46875974147727323,153.3,103.43,13.039684600814104,137.52018939393935,4.25,-2.75,0.6467306906326424,-0.00010771780303030076,29.43,29.33,0.021418026716938546,29.382310606060493
P19,D10,0.591103,0.501388,0.01824824187624578,0.548179433035714,109.53,91.92,4.985329699006096,106.09428571428573,131.51,-81.62,8.349339761133717,-0.00020926339285716925,29.45,29.41,0.013778470611874812,29.42946428571426
P19,D11,0.552654,0.519331,0.007475626803746594,0.5331766439393939,106.6,101.67,1.5561305327151966,105.25212121212121,2.58,-1.96,0.6133181122846455,-0.00032670454545454675,29.45,29.41,0.012966263454492553,29.42242424242418
P19,D12,0.539837,0.48729,0.013478106521872313,0.5057377375000001,93.52,88.13,1.6597968480880652,91.02225,2.07,-1.72,0.5975788037280757,-0.0007148437500000016,29.43,29.37,0.014397763627878752,29.41199999999997
P19,D13,0.630834,0.47191,0.033446819405040684,0.544532772727272,106.05,97.07,2.364369592306493,101.45563636363639,2.09,-1.9,0.5723021663025232,-0.0005937499999999996,29.43,29.37,0.013268001000919133,29.382181818181778
P10,D0,0.26147,0.233272,0.007739033023148349,0.24795125365853493,100.38,59.21,10.60478874351563,88.7416585365854,24.83,-22.57,1.5490287534167249,0.0007835365853658602,24.95,23.59,0.3907366249009846,24.327609756097512
P10,D1,0.244808,0.234554,0.0017880111937838244,0.23968115090090103,127.73,99.13,7.110749380814708,106.61243243243239,5.75,-5.28,0.9264198372042527,0.0029983108108107997,25.45,25.07,0.11439228887371423,25.273513513513624
P10,D2,0.238399,0.231991,0.0009899222785882632,0.23445171808510734,144.95,132.42,4.234082356000164,139.69297872340422,7.31,-3.59,0.7810186917388982,0.00244847074468084,25.75,25.51,0.06569277300839056,25.63585106382967
P10,D3,0.326838,0.231991,0.007814207090683967,0.2447424559659092,134.5,87.05,16.90733609121493,114.08511363636366,336.7,-148.29,10.283244990784222,-0.2091725852272747,26.25,25.91,0.08814449697561372,26.083124999999907
