#timestamp,tobii_system_timestamp,toii_device_timestamp,gaze_x,gaze_y,pupil_diameter,left_gaze_origin_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_user_coordinate_system,left_gaze_point_in_user_coordinate_system,left_gaze_point_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_x,left_gaze_y,left_pupil_validity,left_pupil,right_gaze_origin_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_user_coordinate_system,right_gaze_point_in_user_coordinate_system,right_gaze_point_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_x,right_gaze_y,right_pupil_validity,right_pupil
1645172501935.625,9375503897,1780475323,945.883484,459.886926,2.271729,1,-32.084694,45.113697,772.288025,-8.868889,200.565659,0.544686,0.393385,0.482879,0.396163,1,2.272919,1,32.667175,45.875164,772.333862,1.251841,208.429169,0.425397,0.392151,0.502417,0.370315,1,2.270538
1645172501946.74,9375515001,1780486426,941.787729,460.362911,2.271751,1,-32.085548,45.110729,772.184570,-9.270409,201.410324,0.544695,0.393377,0.482103,0.393386,1,2.267151,1,32.641293,45.875919,772.193481,-0.556574,207.343109,0.425434,0.392128,0.498925,0.373885,1,2.276352
1645172501957.9958,9375526105,1780497530,942.008915,463.238883,2.290871,1,-32.096226,45.109966,772.132812,-9.002057,202.026093,0.544719,0.393372,0.482621,0.391362,1,2.273178,1,32.625992,45.876060,772.152588,-0.705590,205.269150,0.425459,0.392122,0.498638,0.380702,1,2.308563
1645172501969.1538,9375537208,1780508633,944.830856,460.877216,2.289307,1,-32.112694,45.110584,772.154053,-8.678540,203.438980,0.544747,0.393373,0.483246,0.386718,1,2.270096,1,32.611526,45.870903,772.173096,0.493571,205.053680,0.425487,0.392137,0.500953,0.381411,1,2.308517
1645172501980.151,9375548311,1780519736,944.355898,455.902308,2.284134,1,-32.117058,45.108803,772.179626,-10.446664,204.227402,0.544754,0.393381,0.479833,0.384127,1,2.268951,1,32.603924,45.849312,772.210144,2.005373,206.787781,0.425504,0.392196,0.503871,0.375711,1,2.299316
1645172501991.209,9375559414,1780530839,944.430313,457.884818,2.281784,1,-32.123295,45.106400,772.283203,-11.096818,201.044128,0.544757,0.393402,0.478578,0.394590,1,2.274002,1,32.603584,45.835075,772.292603,2.695723,208.965790,0.425511,0.392243,0.505204,0.368551,1,2.289566
1645172502002.251,9375570517,1780541942,942.825651,461.874425,2.279732,1,-32.125336,45.110832,772.436646,-12.180909,199.352493,0.544749,0.393413,0.476485,0.400151,1,2.260010,1,32.606731,45.824181,772.423523,2.913933,208.634552,0.425516,0.392288,0.505625,0.369640,1,2.299454
1645172502013.672,9375581620,1780553045,947.477503,460.054690,2.278038,1,-32.128700,45.115013,772.565735,-10.908955,198.329849,0.544746,0.393421,0.478940,0.403512,1,2.260376,1,32.620972,45.814404,772.604126,4.152055,210.579865,0.425504,0.392339,0.508016,0.363246,1,2.295700
1645172502023.833,9375592723,1780564148,946.545982,459.582871,2.284248,1,-32.129421,45.122604,772.706665,-11.110168,199.696365,0.544736,0.393423,0.478552,0.399020,1,2.261307,1,32.632290,45.818241,772.715454,3.850657,209.452576,0.425492,0.392346,0.507434,0.366951,1,2.307190
1645172502038.039,9375603827,1780575251,944.508877,457.700908,2.284317,1,-32.126568,45.128063,772.883362,-11.404426,200.421906,0.544717,0.393435,0.477984,0.396635,1,2.262207,1,32.654190,45.825539,772.861389,3.045714,209.681305,0.425463,0.392349,0.505880,0.366199,1,2.306427
1645172502046.808,9375614931,1780586355,943.712168,463.253814,2.291710,1,-32.130253,45.134468,773.012451,-10.940805,199.388840,0.544714,0.393438,0.478879,0.400031,1,2.267105,1,32.665089,45.837223,773.039978,2.152164,207.898804,0.425457,0.392347,0.504155,0.372059,1,2.316315
1645172502057.3782,9375626034,1780597458,942.893085,460.336304,2.286758,1,-32.133389,45.138939,773.088562,-10.685661,198.289581,0.544714,0.393438,0.479371,0.403644,1,2.266159,1,32.667015,45.840225,773.101562,1.455137,210.477325,0.425458,0.392348,0.502809,0.363583,1,2.307358
1645172502069.0042,9375637137,1780608561,942.641945,462.924582,2.284157,1,-32.139473,45.143272,773.141296,-10.065948,197.466522,0.544721,0.393435,0.480568,0.406350,1,2.273804,1,32.659054,45.842232,773.146362,0.699910,209.988022,0.425476,0.392350,0.501351,0.365191,1,2.294510
1645172502080.12,9375648240,1780619664,942.584696,458.465374,2.278175,1,-32.142849,45.146626,773.180115,-10.412939,198.568970,0.544725,0.393432,0.479898,0.402726,1,2.266922,1,32.655258,45.843601,773.199646,1.016044,211.146591,0.425487,0.392354,0.501961,0.361383,1,2.289429
1645172502090.7769,9375659343,1780630767,943.811846,462.871760,2.273773,1,-32.147064,45.149780,773.216797,-10.530951,197.670319,0.544730,0.393429,0.479670,0.405680,1,2.267776,1,32.651119,45.846737,773.228088,1.796106,209.811066,0.425497,0.392350,0.503467,0.365773,1,2.279770
1645172502102.318,9375670446,1780641870,945.376682,464.673632,2.282181,1,-32.151699,45.160149,773.275330,-10.789420,196.875626,0.544734,0.393412,0.479171,0.408292,1,2.272034,1,32.645100,45.854439,773.278625,2.898997,209.692093,0.425512,0.392339,0.505596,0.366164,1,2.292328
1645172502113.451,9375681550,1780652973,940.047455,471.338993,2.293678,1,-32.153301,45.168922,773.325439,-11.739298,195.447525,0.544733,0.393398,0.477337,0.412986,1,2.285767,1,32.647812,45.878994,773.348572,0.973278,207.740601,0.425512,0.392289,0.501879,0.372579,1,2.301590
1645172502123.486,9375692653,1780664076,939.091673,466.927332,2.306641,1,-32.152451,45.182808,773.419006,-12.488698,198.087753,0.544724,0.393377,0.475891,0.404308,1,2.294495,1,32.654572,45.899231,773.421509,1.206943,207.337265,0.425505,0.392250,0.502330,0.373904,1,2.318787
1645172502193.454,9375703757,1780675180,935.650377,456.390560,2.306679,1,-32.145287,45.204014,773.585632,-12.828727,202.369843,0.544698,0.393349,0.475234,0.390233,1,2.299820,1,32.673031,45.939964,773.559937,-0.309881,208.397781,0.425482,0.392170,0.499402,0.370418,1,2.313538
1645172502194.456,9375714860,1780686283,946.397781,449.171448,2.298759,1,-32.147259,45.220798,773.705505,-10.281555,205.948044,0.544692,0.393325,0.480151,0.378471,1,2.298676,1,32.682579,46.001850,773.725891,2.942051,208.479980,0.425477,0.392043,0.505680,0.370148,1,2.298843
1645172502194.456,9375725963,1780697386,946.911850,456.738371,2.299149,1,-32.133812,45.251568,773.776794,-9.489159,204.920685,0.544662,0.393260,0.481681,0.381848,1,2.292938,1,32.691292,46.031673,773.781128,2.427017,205.670563,0.425465,0.391978,0.504685,0.379383,1,2.305359
1645172502195.459,9375737066,1780708489,945.804005,463.626337,2.307961,1,-32.113274,45.282757,773.813171,-10.597504,204.305405,0.544621,0.393189,0.479541,0.383870,1,2.291275,1,32.714275,46.052986,773.812012,2.937590,202.793381,0.425425,0.391930,0.505671,0.388840,1,2.324646
1645172502195.459,9375748169,1780719592,937.217932,463.068831,2.313400,1,-32.090866,45.301102,773.797974,-12.545724,204.421387,0.544581,0.393142,0.475780,0.383489,1,2.282852,1,32.736565,46.063320,773.790527,0.252908,202.960037,0.425382,0.391902,0.500488,0.388292,1,2.343948
1645172502195.459,9375759272,1780730695,935.471392,460.335231,2.297821,1,-32.062767,45.308872,773.733093,-13.808305,203.835754,0.544534,0.393114,0.473343,0.385414,1,2.278717,1,32.756439,46.062054,773.739197,0.573110,204.931732,0.425342,0.391898,0.501106,0.381811,1,2.316925
1645172502202.451,9375770376,1780741798,939.388361,460.267174,2.289803,1,-32.025372,45.333729,773.635864,-12.109956,202.131561,0.544472,0.393040,0.476622,0.391016,1,2.280899,1,32.769012,46.068775,773.656006,0.988308,206.670395,0.425312,0.391869,0.501908,0.376096,1,2.298706
1645172502212.453,9375781479,1780752901,950.198736,458.062506,2.289879,1,-31.985844,45.368050,773.629517,-9.813765,200.022476,0.544400,0.392955,0.481054,0.397948,1,2.298340,1,32.824570,46.090240,773.643616,4.525232,209.897339,0.425209,0.391816,0.508736,0.365489,1,2.281418
1645172502223.4521,9375792583,1780764005,959.938745,446.790540,2.302391,1,-31.928574,45.394798,773.616516,-6.115644,203.036819,0.544295,0.392888,0.488194,0.388040,1,2.306519,1,32.854584,46.109440,773.628418,6.082591,212.598389,0.425153,0.391767,0.511742,0.356611,1,2.298264
1645172502235.452,9375803686,1780775108,967.482634,437.042105,2.310219,1,-31.858349,45.417332,773.761108,-4.121841,206.091339,0.544155,0.392854,0.492043,0.378000,1,2.314667,1,32.907463,46.132572,773.738403,8.159361,214.486755,0.425064,0.391726,0.515752,0.350404,1,2.305771
1645172502246.451,9375814789,1780786211,966.711788,434.511423,2.321106,1,-31.805408,45.430813,773.885376,-5.208152,209.602524,0.544048,0.392840,0.489946,0.366458,1,2.307800,1,32.961990,46.161674,773.898438,8.829761,212.258682,0.424976,0.391679,0.517046,0.357727,1,2.334412
1645172502256.4531,9375825892,1780797314,966.054583,433.251750,2.319962,1,-31.778671,45.455418,773.989258,-5.815156,209.635880,0.543991,0.392795,0.488774,0.366349,1,2.312042,1,33.009583,46.178089,773.990356,9.082147,212.864044,0.424896,0.391653,0.517533,0.355738,1,2.327881
1645172502268.449,9375836995,1780808417,964.384289,434.411752,2.310699,1,-31.730892,45.483532,773.911072,-6.394150,208.563416,0.543909,0.392715,0.487656,0.369874,1,2.302917,1,33.040306,46.183918,773.925354,8.759851,213.348328,0.424834,0.391629,0.516911,0.354146,1,2.318481
1645172502279.4548,9375848098,1780819520,967.246141,433.731472,2.301712,1,-31.691147,45.507435,773.785278,-4.450686,206.771149,0.543845,0.392639,0.491408,0.375765,1,2.299072,1,33.088360,46.185406,773.760254,8.360654,215.485519,0.424733,0.391602,0.516140,0.347121,1,2.304352
1645172502290.453,9375859202,1780830623,961.498461,443.526614,2.302307,1,-31.635178,45.535210,773.745605,-5.567389,205.114044,0.543745,0.392565,0.489252,0.381212,1,2.295547,1,33.130848,46.199520,773.719238,6.375991,212.176102,0.424651,0.391562,0.512309,0.357999,1,2.309067
1645172502301.45,9375870305,1780841726,969.668541,447.563964,2.302582,1,-31.592455,45.571918,773.767700,-2.198328,203.407166,0.543664,0.392479,0.495756,0.386823,1,2.295486,1,33.173626,46.225578,773.733276,7.415379,211.835907,0.424574,0.391500,0.514315,0.359117,1,2.309677
1645172502312.45,9375881409,1780852830,976.036177,449.102640,2.294891,1,-31.562662,45.607090,773.906006,-1.053010,203.719666,0.543599,0.392413,0.497967,0.385796,1,2.296219,1,33.235023,46.262260,773.899963,9.705914,210.743210,0.424474,0.391435,0.518737,0.362709,1,2.293564
1645172502323.451,9375892512,1780863933,985.051746,439.871031,2.292450,1,-31.526735,45.624172,773.930420,0.124735,206.850449,0.543531,0.392375,0.500241,0.375505,1,2.298462,1,33.262566,46.277363,773.920532,13.392762,212.293289,0.424425,0.391402,0.525855,0.357614,1,2.286438
1645172502334.454,9375903615,1780875036,973.363724,432.246476,2.299988,1,-31.465181,45.642044,774.012939,-4.197293,210.385361,0.543411,0.392344,0.491897,0.363885,1,2.305389,1,33.308960,46.290768,773.982422,11.408175,212.624298,0.424344,0.391378,0.522023,0.356526,1,2.294586
1645172502346.451,9375914718,1780886139,963.645916,427.229297,2.312660,1,-31.409870,45.655548,773.931702,-6.726416,211.869263,0.543316,0.392300,0.487015,0.359008,1,2.307892,1,33.351128,46.297554,773.874390,8.693685,213.684357,0.424258,0.391346,0.516783,0.353041,1,2.317429
1645172502358.451,9375925821,1780897242,959.964437,428.813517,2.314476,1,-31.378086,45.693420,773.944275,-5.920249,209.776459,0.543256,0.392209,0.488571,0.365887,1,2.298492,1,33.399075,46.305145,773.884705,5.901130,214.973877,0.424171,0.391330,0.511392,0.348803,1,2.330460
1645172502368.4531,9375936925,1780908345,966.489601,430.288821,2.310135,1,-31.341602,45.728184,773.775391,-4.484704,208.112991,0.543201,0.392100,0.491342,0.371354,1,2.287247,1,33.412189,46.299049,773.748596,7.986388,215.889297,0.424136,0.391325,0.515418,0.345794,1,2.333023
1645172502379.451,9375948028,1780919448,976.911736,426.906145,2.290596,1,-31.317152,45.758915,773.729675,-2.303193,204.932297,0.543159,0.392018,0.495554,0.381810,1,2.289734,1,33.446960,46.299950,773.686829,11.428523,220.785141,0.424067,0.391314,0.522063,0.329701,1,2.291458
1645172587078.727,9460601016,1865571460,nan,nan,nan,1,-13.485016,38.548950,774.688721,-138.261154,132.485657,0.510378,0.409981,0.233087,0.619944,1,2.319275,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587078.727,9460612120,1865582563,nan,nan,nan,1,-13.641569,38.671318,774.647644,-137.356628,129.669876,0.510666,0.409675,0.234833,0.629200,1,2.329849,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587078.727,9460623223,1865593666,nan,nan,nan,1,-13.848399,38.805756,774.678467,-137.217514,128.469543,0.511045,0.409348,0.235101,0.633145,1,2.324341,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587078.727,9460634326,1865604769,nan,nan,nan,1,-14.076767,38.940109,774.659912,-138.866486,126.708534,0.511464,0.409014,0.231918,0.638934,1,2.319580,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587078.727,9460645429,1865615872,nan,nan,nan,1,-14.260588,39.018673,774.716858,-140.717529,129.152222,0.511799,0.408827,0.228345,0.630901,1,2.311768,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587086.721,9460656532,1865626975,nan,nan,nan,1,-14.482377,39.115501,774.867798,-141.016907,131.026306,0.512201,0.408607,0.227767,0.624741,1,2.321747,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587098.491,9460667636,1865638079,nan,nan,nan,1,-14.740614,39.220333,775.082947,-138.936661,132.915024,0.512667,0.408374,0.231782,0.618533,1,2.324127,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587109.494,9460678739,1865649182,nan,nan,nan,1,-14.945188,39.344223,775.258606,-137.608078,131.162964,0.513035,0.408091,0.234347,0.624292,1,2.331436,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587120.496,9460689843,1865660285,nan,nan,nan,1,-15.160744,39.497822,775.482849,-138.460800,130.268616,0.513422,0.407741,0.232701,0.627232,1,2.328232,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587131.491,9460700946,1865671388,nan,nan,nan,1,-15.417525,39.724079,775.844360,-140.374237,129.191727,0.513879,0.407231,0.229007,0.630772,1,2.327881,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587142.493,9460712049,1865682491,nan,nan,nan,1,-15.642701,39.898998,776.107788,-140.400681,130.781342,0.514281,0.406834,0.228956,0.625546,1,2.325912,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587153.496,9460723152,1865693594,nan,nan,nan,1,-15.895105,40.113026,776.357544,-139.510712,129.997604,0.514733,0.406340,0.230674,0.628123,1,2.330368,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
1645172587164.492,9460734255,1865704697,nan,nan,nan,1,-16.193884,40.344482,776.504578,-140.802170,131.647537,0.515273,0.405790,0.228181,0.622699,1,2.331085,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
